계좌,변형,전략,1티어체결,2티어체결,CAGR
3000.0,A 현재 (1% 금액),이평4일,53,167,1.0810033822601421
3000.0,A 현재 (1% 금액),중심주가,41,187,0.5727234730651134
3000.0,B 1주 고정,이평4일,53,167,1.0784986636885634
3000.0,B 1주 고정,중심주가,41,187,0.5696507759431408
3000.0,C 1주 + 게이트확대,이평4일,68,277,2.409161201221947
3000.0,C 1주 + 게이트확대,중심주가,65,345,1.7008084580053051
6000.0,A 현재 (1% 금액),이평4일,68,277,2.419443571357314
6000.0,A 현재 (1% 금액),중심주가,65,345,1.697618505077422
6000.0,B 1주 고정,이평4일,68,277,2.408998042006055
6000.0,B 1주 고정,중심주가,65,345,1.6944855253966642
6000.0,C 1주 + 게이트확대,이평4일,68,277,2.408998042006055
6000.0,C 1주 + 게이트확대,중심주가,65,345,1.6944855253966642
10000.0,A 현재 (1% 금액),이평4일,68,277,2.4253506058574184
10000.0,A 현재 (1% 금액),중심주가,65,345,1.7039147447701875
10000.0,B 1주 고정,이평4일,68,277,2.411650490235923
10000.0,B 1주 고정,중심주가,65,345,1.7011358840447652
10000.0,C 1주 + 게이트확대,이평4일,68,277,2.411650490235923
10000.0,C 1주 + 게이트확대,중심주가,65,345,1.7011358840447652
30000.0,A 현재 (1% 금액),이평4일,68,277,2.427187027379131
30000.0,A 현재 (1% 금액),중심주가,65,345,1.7032141609067089
30000.0,B 1주 고정,이평4일,68,277,2.41351690421467
30000.0,B 1주 고정,중심주가,65,345,1.7028501056266352
30000.0,C 1주 + 게이트확대,이평4일,68,277,2.41351690421467
30000.0,C 1주 + 게이트확대,중심주가,65,345,1.7028501056266352
