계좌,1티어%,1티어금액,전략,1티어체결,2티어체결,CAGR
3000.0,0.1,3.0,이평4일,0,0,0.0
3000.0,0.1,3.0,중심주가,0,0,0.0
3000.0,0.5,15.0,이평4일,4,12,-0.03225041231913339
3000.0,0.5,15.0,중심주가,10,12,0.13773416522603754
3000.0,1.0,30.0,이평4일,53,167,1.0810033822601421
3000.0,1.0,30.0,중심주가,41,187,0.5727234730651134
3000.0,2.0,60.0,이평4일,68,277,2.391624531000101
3000.0,2.0,60.0,중심주가,65,345,1.6828240014400264
6000.0,0.1,6.0,이평4일,0,0,0.0
6000.0,0.1,6.0,중심주가,0,0,0.0
6000.0,0.5,30.0,이평4일,53,167,1.0855033074459426
6000.0,0.5,30.0,중심주가,41,187,0.57321457181764
6000.0,1.0,60.0,이평4일,68,277,2.419443571357314
6000.0,1.0,60.0,중심주가,65,345,1.697618505077422
6000.0,2.0,120.0,이평4일,68,277,2.401885585834148
6000.0,2.0,120.0,중심주가,65,345,1.684717916012346
10000.0,0.1,10.0,이평4일,2,1,0.017461443447621683
10000.0,0.1,10.0,중심주가,2,1,0.018002144678062937
10000.0,0.5,50.0,이평4일,68,277,2.43830423333401
10000.0,0.5,50.0,중심주가,65,345,1.708791860307055
10000.0,1.0,100.0,이평4일,68,277,2.4253506058574184
10000.0,1.0,100.0,중심주가,65,345,1.7039147447701875
10000.0,2.0,200.0,이평4일,68,277,2.4057243858235653
10000.0,2.0,200.0,중심주가,65,345,1.688322519336256
30000.0,0.1,30.0,이평4일,48,151,0.9580013916918637
30000.0,0.1,30.0,중심주가,41,187,0.5710061413449301
30000.0,0.5,150.0,이평4일,68,277,2.4365940096647467
30000.0,0.5,150.0,중심주가,65,345,1.7099096651995396
30000.0,1.0,300.0,이평4일,68,277,2.427187027379131
30000.0,1.0,300.0,중심주가,65,345,1.7032141609067089
30000.0,2.0,600.0,이평4일,68,277,2.4051905370315563
30000.0,2.0,600.0,중심주가,65,345,1.6884903351932627
60000.0,0.1,60.0,이평4일,68,277,2.4446353097417015
60000.0,0.1,60.0,중심주가,65,345,1.715949442579546
60000.0,0.5,300.0,이평4일,68,277,2.436761126485055
60000.0,0.5,300.0,중심주가,65,345,1.7107873971572487
60000.0,1.0,600.0,이평4일,68,277,2.4263162132440304
60000.0,1.0,600.0,중심주가,65,345,1.7035567597717058
60000.0,2.0,1200.0,이평4일,68,277,2.4050225082310397
60000.0,2.0,1200.0,중심주가,65,345,1.6884054700196955
100000.0,0.1,100.0,이평4일,68,277,2.444896914936198
100000.0,0.1,100.0,중심주가,65,345,1.7164178056880108
100000.0,0.5,500.0,이평4일,68,277,2.4366132693700258
100000.0,0.5,500.0,중심주가,65,345,1.710560972734812
100000.0,1.0,1000.0,이평4일,68,277,2.426661251121966
100000.0,1.0,1000.0,중심주가,65,345,1.7028352269071712
100000.0,2.0,2000.0,이평4일,68,277,2.4066353528082924
100000.0,2.0,2000.0,중심주가,65,345,1.6888702877434634
