조합,개수,시나리오,최적비중,최적Calmar,최적CAGR,최적MDD,균등비중,균등Calmar,균등CAGR,균등MDD,손실%,고원비율,격자수
이평4일+이평1일,2,전체 2011~,55/45,2.8834472365759223,0.9856568176600047,-0.3418327913745586,50/50,2.8245765380961205,0.9830961844946464,-0.34805082150731637,2.0416776743142484,57.89473684210527,19
이평4일+이평1일,2,IS 2017~2023,80/20,3.9999266138696856,1.2229088809862092,-0.3057328293838669,50/50,3.581609589020375,1.221381314596365,-0.3410146427853493,10.458117491426034,31.57894736842105,19
이평4일+이평1일,2,OOS 2024~2026,25/75,7.218870807613923,2.392594882273479,-0.3314361686248699,50/50,7.101888785116693,2.404648445122762,-0.33859280508055023,1.6205030622496546,84.21052631578947,19
이평4일+중심주가,2,전체 2011~,50/50,2.8544003459236054,0.9321314283389444,-0.32655945746017356,50/50,2.8544003459236054,0.9321314283389444,-0.32655945746017356,0.0,68.42105263157895,19
이평4일+중심주가,2,IS 2017~2023,95/5,3.9663454357387478,1.2154616176506239,-0.3064437118105522,50/50,3.7189195889401128,1.1294701615206821,-0.3037092183653747,6.238131569913324,42.10526315789473,19
이평4일+중심주가,2,OOS 2024~2026,85/15,7.173735319784522,2.332669132846924,-0.32516799531390994,50/50,6.854653258190062,2.099736437075525,-0.3063227792837986,4.447920746594319,47.368421052631575,19
이평4일+RSI,2,전체 2011~,60/40,2.8721631472148497,0.9589271095410825,-0.3338693035146554,50/50,2.742944263449469,0.9437487869424277,-0.3440641501608892,4.4990091837465735,47.368421052631575,19
이평4일+RSI,2,IS 2017~2023,65/35,4.069226386187955,1.2344214780091303,-0.303355321345376,50/50,3.8366737074923343,1.2388216016560536,-0.32288948607666523,5.7149113031648175,47.368421052631575,19
이평4일+RSI,2,OOS 2024~2026,90/10,6.750898796285446,2.357274482278776,-0.34917935424773683,50/50,6.585300581489971,2.057364958645286,-0.3124177754965579,2.452980259259584,63.1578947368421,19
이평1일+중심주가,2,전체 2011~,75/25,2.366067001019267,0.9251941051856865,-0.39102616484956954,50/50,2.308150152656305,0.8875419734287098,-0.38452523221129853,2.4478110018867785,68.42105263157895,19
이평1일+중심주가,2,IS 2017~2023,95/5,3.0702829252632693,1.210752205742069,-0.39434548385740376,50/50,2.9643643199987846,1.126448074671437,-0.3799965028157871,3.4497995084737165,68.42105263157895,19
이평1일+중심주가,2,OOS 2024~2026,80/20,7.023834839145066,2.2629843092922344,-0.3221864353472871,50/50,6.425130676598038,2.073143015942401,-0.3226616111471967,8.52389294819896,36.84210526315789,19
이평1일+RSI,2,전체 2011~,80/20,2.358317335256146,0.9363690168109167,-0.3970496263638812,50/50,2.281709397079692,0.9035901201911778,-0.39601455003326114,3.2484151742934655,63.1578947368421,19
이평1일+RSI,2,IS 2017~2023,5/95,3.1595591342167384,1.2517796051543835,-0.39618806041580934,50/50,3.1223508515431324,1.236584858870983,-0.3960428912912962,1.1776415978626715,100.0,19
이평1일+RSI,2,OOS 2024~2026,65/35,6.807212948853928,2.1427639405101315,-0.3147784499485785,50/50,6.620969183034029,2.030160680787137,-0.30662590697285574,2.7359767825576045,63.1578947368421,19
중심주가+RSI,2,전체 2011~,30/70,2.04965356667694,0.7996967575413347,-0.39016191347783036,50/50,2.04091031008369,0.7851386222963763,-0.384700208733906,0.4265724088888545,94.73684210526315,19
중심주가+RSI,2,IS 2017~2023,5/95,3.147777119391518,1.244216931133871,-0.3952684335460145,50/50,2.9907218856059172,1.1489141825341878,-0.38415948606382,4.98940134033252,52.63157894736842,19
중심주가+RSI,2,OOS 2024~2026,65/35,6.034323783565387,1.6668057791638446,-0.276220806000405,50/50,5.962130678569497,1.649981388268937,-0.27674357997547605,1.1963744005999497,42.10526315789473,19
이평4일+이평1일+중심주가,3,전체 2011~,30/20/50,2.982872683985901,0.9160740018446116,-0.30711133155723436,35/35/30,2.9425152639143226,0.9449825729029862,-0.3211478915646846,1.3529715930634523,49.122807017543856,171
이평4일+이평1일+중심주가,3,IS 2017~2023,75/20/5,3.994036961252666,1.2143515867562988,-0.3040411489771083,35/35/30,3.6970631817298636,1.168250117281758,-0.31599409040532855,7.435428925766906,26.31578947368421,171
이평4일+이평1일+중심주가,3,OOS 2024~2026,20/55/25,7.834768072881336,2.2419753672013267,-0.2861572092939838,35/35/30,7.534239919722396,2.2178278215772163,-0.29436649817476657,3.83582705146263,25.730994152046783,171
이평4일+이평1일+RSI,3,전체 2011~,35/30/35,2.915136115712123,0.9470465772968666,-0.32487216366756777,35/35/30,2.914030072885685,0.951436466680337,-0.3265019381691402,0.037941378465197795,45.614035087719294,171
이평4일+이평1일+RSI,3,IS 2017~2023,65/5/30,4.063282776611521,1.2326156065282792,-0.30335462095409216,35/35/30,3.647079650364809,1.2312190708034039,-0.33759039802715796,10.24302636878733,23.976608187134502,171
이평4일+이평1일+RSI,3,OOS 2024~2026,20/75/5,7.2383968625093,2.3276911718867677,-0.32157551127693185,35/35/30,6.919107910698449,2.193943513365134,-0.31708473717729113,4.411045123328102,39.76608187134503,171
이평4일+중심주가+RSI,3,전체 2011~,50/20/30,2.905003799647433,0.9392244788696014,-0.3233126507385604,35/35/30,2.824979819580822,0.9072391126733872,-0.3211488826875959,2.7546945059529113,44.44444444444444,171
이평4일+중심주가+RSI,3,IS 2017~2023,65/5/30,4.037159122855965,1.2246510879056052,-0.30334476562302626,35/35/30,3.5958722532327028,1.1712037252190912,-0.32570782350962957,10.930628597841533,23.391812865497073,171
이평4일+중심주가+RSI,3,OOS 2024~2026,75/15/10,7.066907701790502,2.261624608179799,-0.3200303023070167,35/35/30,6.521596851758667,1.961352228238448,-0.30074723611741405,7.716399775444535,22.22222222222222,171
이평1일+중심주가+RSI,3,전체 2011~,75/20/5,2.3627322593092503,0.9264665484882104,-0.3921166034949152,35/35/30,2.2390268690605195,0.8705180369330487,-0.38879302832945106,5.235692269461643,40.35087719298245,171
이평1일+중심주가+RSI,3,IS 2017~2023,5/5/90,3.1437372174843548,1.2425189768958593,-0.3952362716531802,35/35/30,3.0218311429615974,1.169303435112329,-0.38695194396809784,3.8777437835694055,72.51461988304094,171
이평1일+중심주가+RSI,3,OOS 2024~2026,40/25/35,7.124501030080818,1.9740034084576514,-0.27707251358699836,35/35/30,6.859400079938217,1.9410875542648922,-0.28298211675129115,3.7209756728688994,28.654970760233915,171
